Employee ID,Employee Name,Department/Team,Designation/Role,Current Employment Status,Total Work Duration (years),Leave Date,Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating,Skill_Performance,Leave Month,Leave Approval Rate,Leave Impact Score,Team Workload Ratio
186104,Jared Obrien MD,4,5,0,11.8,2024-05-12,0,0,6,0,41,24.0,17.0,80.5,50,22,44.0,8.6,1.1,0,11,2,1.2,9.46,5,0.0,-36.0,0.44
51367,Zachary Watkins,5,6,0,11.2,2024-05-25,3,0,0,0,75,68.0,7.0,93.7,28,22,21.0,8.1,2.4,2,16,1,3.0,19.439999999999998,12,0.0,-0.0,0.7857142857142857
416501,Ms. Jodi Levine MD,4,4,0,3.6,2024-06-09,4,1,2,0,43,5.0,38.0,75.1,30,4,0.0,6.1,3.8,0,2,2,2.7,23.179999999999996,8,33.33333333333333,68.0,0.13333333333333333
138572,Brianna Morales,6,1,0,8.6,2024-10-21,3,0,3,1,35,34.0,1.0,54.7,9,3,0.0,5.0,3.6,1,25,0,1.1,18.0,7,0.0,-96.0,0.3333333333333333
327511,Krista Ellis,3,2,1,12.1,2024-09-12,0,2,10,0,96,91.0,5.0,99.8,12,4,8.0,2.5,3.6,1,30,0,4.0,9.0,10,18.181818181818183,-627.7241811671965,0.3333333333333333
107410,Teresa Andersen,1,7,0,11.0,2024-02-21,3,2,1,0,23,2.0,21.0,71.2,45,35,11.0,6.0,4.6,0,9,2,4.4,27.599999999999998,2,100.0,20.0,0.7777777777777778
261982,Melissa Phillips,4,2,0,10.6,2024-01-08,0,2,7,0,42,10.0,32.0,64.0,25,3,24.0,1.6,4.1,0,3,0,4.8,6.56,7,25.0,161.0,0.12
759847,Aaron Mack,0,0,1,3.7,2024-05-10,3,0,7,1,18,8.0,10.0,99.5,42,41,0.0,8.8,2.5,0,24,2,2.3,22.0,3,0.0,21.0,0.9761904761904762
462341,Andrea Walters,6,7,0,12.5,2024-08-10,1,2,6,0,94,18.0,76.0,69.2,14,7,11.0,8.8,4.1,1,13,0,1.8,36.08,8,28.57142857142857,354.0,0.5
316400,Michael Miller,5,0,0,13.1,2024-09-22,1,1,9,0,21,21.0,0.0,99.0,33,21,31.0,7.2,2.8,2,18,0,1.6,20.16,1,10.0,-180.0,0.6363636363636364
268976,James Hanson,4,4,0,14.7,2024-03-03,4,1,1,0,22,19.0,3.0,54.7,35,35,30.0,7.9,4.5,0,16,1,4.1,35.550000000000004,6,50.0,-15.0,1.0
557429,Heather Byrd,5,6,0,8.7,2024-05-05,4,2,7,1,31,0.0,31.0,84.3,13,6,6.0,2.4,3.1,1,0,2,1.8,7.4399999999999995,6,25.0,224.0,0.46153846153846156
88132,Timothy Williams,4,4,1,1.2,2024-07-12,4,2,5,1,81,66.0,15.0,62.0,14,10,7.0,6.8,4.6,1,15,0,2.6,31.279999999999998,7,33.33333333333333,-250.0,0.7142857142857143
802137,Cheryl Long,3,5,0,13.2,2024-05-25,2,2,5,0,43,14.0,29.0,86.2,49,44,5.0,3.5,5.0,0,6,1,2.3,17.5,12,33.33333333333333,80.0,0.8979591836734694
