Employee ID,Employee Name,Department/Team,Designation/Role,Date of Joining,Current Employment Status,Total Work Duration (years),Leave Date,Leave Type,Leave Approval Status,Leave Frequency,Weekend Leaves (Sat/Sun Included?),Sandwich Policy Applied?,Tasks Assigned,Tasks Completed on Time,Missed Deadlines,Employee Performance Score,Team Size,Active Employees in Team,Leaves in Team for Same Period,Skill Rating,Past Performance Reviews,Project Involvement,Total Leave Days (per month/year),Leave Impact on Work,Performance Rating,Eligibility Score
186104,Jared Obrien MD,Marketing,Manager,2013-05-04,Active,11.8,2024-05-12,Casual Leave,Approved,6,No,No,41,24,17,80.5,50,22,44,8.6,1.1,High,11,Medium,1.2,15.7
51367,Zachary Watkins,Operations,Senior Engineer,2013-12-22,Active,11.2,2024-05-25,Sick Leave,Approved,0,No,Yes,75,68,7,93.7,28,22,21,8.1,2.4,Medium,16,Low,3.0,59.7
416501,Ms. Jodi Levine MD,Marketing,Junior Engineer,2021-08-01,Active,3.6,2024-06-09,Vacation,Pending,2,No,Yes,43,5,38,75.1,30,4,0,6.1,3.8,High,2,Medium,2.7,10.8
138572,Brianna Morales,Sales,Associate,2016-07-30,Active,8.6,2024-10-21,Sick Leave,Approved,3,Yes,Yes,35,34,1,54.7,9,3,0,5.0,3.6,Low,25,High,1.1,97.0
327511,Krista Ellis,IT,Director,2012-10-21,Resigned,12.1,2024-09-12,Casual Leave,Rejected,10,No,Yes,96,91,5,99.8,12,4,8,2.5,3.6,Low,30,High,4.0,66.2
107410,Teresa Andersen,Finance,Team Lead,2014-02-22,Active,11.0,2024-02-21,Sick Leave,Rejected,1,No,Yes,23,2,21,71.2,45,35,11,6.0,4.6,High,9,Medium,4.4,72.7
261982,Melissa Phillips,Marketing,Director,2014-07-28,Active,10.6,2024-01-08,Casual Leave,Rejected,7,No,Yes,42,10,32,64.0,25,3,24,1.6,4.1,High,3,High,4.8,61.4
759847,Aaron Mack,Engineering,Analyst,2012-03-05,Resigned,3.7,2024-05-10,Sick Leave,Approved,7,Yes,No,18,8,10,99.5,42,41,0,8.8,2.5,High,24,Medium,2.3,34.9
462341,Andrea Walters,Sales,Team Lead,2012-08-27,Active,12.5,2024-08-10,Emergency Leave,Rejected,6,No,No,94,18,76,69.2,14,7,11,8.8,4.1,Low,13,High,1.8,39.2
316400,Michael Miller,Operations,Analyst,2012-01-09,Active,13.1,2024-09-22,Emergency Leave,Pending,9,No,No,21,21,0,99.0,33,21,31,7.2,2.8,Medium,18,High,1.6,23.0
